order,url,label
6001,http://177.70.102.228:8070/TmpFTP/CT-e/Distribui%C3%A7%C3%A3o/02589791000162/Consulta%20Geral/2025-01-27/info.zip,phish
6002,https://fundo.com,legit
6003,http://reverent-tereshkova.196-251-72-149.plesk.page/bins/nwfaiehg4ewijfgriehgirehaughrarg.arm5,phish
6004,http://121.13.165.98:88/1/qtsy.exe,phish
6005,http://42.234.74.43:42031/i,phish
6006,http://202.107.235.202:8008/iis/file/sorder/210629-021/info.zip,phish
6007,https://bitbucket.org/nbiuityt/replot/raw/main/payload_1755181746_6284.txt,phish
6008,https://sofacompany.com,legit
6009,http://201.16.194.227:2550/TmpFTP/LOG_AJUSTEFOS/0021/001/05-2020/01/info.zip,phish
6010,http://rockwood.call105.net:3000/m68k,phish
6011,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Mumbai/SEFIRA%20PC/OLD%20PC/sefira%20data%20on%20Bom001_veera/Internet%20Explorer%206.0%20%28Full%29/info.zip,phish
6012,http://132.247.103.239/Video.scr,phish
6013,http://focused-noether.196-251-72-149.plesk.page/bins/debug,phish
6014,http://213.209.143.62/nwfaiehg4ewijfgriehgirehaughrarg.mips,phish
6015,http://depot-marchandise.com/kvariant.sh4,phish
6016,https://securebotshield.co.in,legit
6017,http://42.239.224.104:44277/bin.sh,phish
6018,http://103.20.213.34:8080/Uploads/Uploads/ARYACORP%20POST%20FIXTURE/FIXTURE%20FOLDERS/FIXTURE%20FOLDER%20FOR%202020/563%20-%20MV%20ND%20ARISTEIA%20-%20BAGADIYA%20CP%20DTD%2019.06.2020%20-%20FILE%20NO.563/CERTIFICATES/info.zip,phish
6019,http://174.163.48.188:41618/i,phish
6020,https://theagora.cn,legit
6021,http://115.53.242.51:57883/i,phish
6022,http://121.184.128.134/01/23/11/08/11/info.zip,phish
6023,http://103.20.213.34:8080/Uploads/Uploads/Customer%20Background%20and%20Fixture%20Lists/TCL-BG/info.zip,phish
6024,http://mondial-pickup.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.arc,phish
6025,https://blush.ai,legit
6026,https://r5525.cn,legit
6027,http://202.107.235.202:8008/iis/file/sorder/210727-072/images/info.zip,phish
6028,http://177.101.128.226:40273/i,phish
6029,https://mk.hasefa.ru/0d.google?t=s51o1er8,phish
