order,Url,Label
725,https://pikohost.sbs,legit
3177,http://42.52.202.61:34556/bin.sh,phish
3651,http://objective-goldberg.196-251-72-149.plesk.page/1.sh,phish
8698,http://213.209.143.167/laced.mips,phish
6433,https://saferweb.site,legit
93,https://midnightdreamsreborns.com,legit
4318,http://176.46.152.62:5858/77c68d8ad5dc42758caedb23cdbefbd4_crypted_build.exe,phish
258,https://cxem.net,legit
6980,http://88.243.214.56:34844/i,phish
2207,http://138.204.196.254:46266/bin.sh,phish
9756,https://qb.h8o4g.ru/1n.check?t=csni2tlc,phish
4271,https://qb.vamuwe.ru/1n7.check?t=2c5nedl6,phish
3473,http://193.111.248.238/hiddenbin/boatnet.arm5,phish
7609,http://60.161.47.84:37152/bin.sh,phish
4983,https://smash.com.ua,legit
105,http://195.248.240.141/hiddenbin/boatnet.mips,phish
8536,http://78.188.91.108:50575/bin.sh,phish
5448,https://ldflooring.cn,legit
750,https://hkwlhim.com,legit
9219,http://109.108.84.121:28531/Mozi.m,phish
1184,http://123.8.119.54:37115/bin.sh,phish
1552,http://219.157.176.57:36777/bin.sh,phish
6570,http://42.227.196.70:55824/i,phish
5571,https://p7.ko-lu.ru/5o.google?t=7v7bceu3,phish
5534,http://196.251.71.207/bot/mynode.armv4_32,phish
2916,http://suivimondialrelay-colis.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.m68k,phish
5992,https://wetgiw.gov.pl,legit
1600,http://182.121.153.247:52220/i,phish
8747,https://www.first-security-verden.de/,phish
6208,http://n8n.heroxhost.com/sexyug/spc,phish
9280,http://156.226.174.33/bot.arm7,phish
2653,https://uv4.r4tu.ru/0l.check?t=z1gua1dm,phish
5674,https://softsdownlod.pro/?uid=18&sid=7,phish
4687,http://175.148.72.52:52258/bin.sh,phish
5811,http://157.20.32.209/bins/morte.mpsl,phish
1879,https://raw.githubusercontent.com/VetiGoders/lavidaloca/refs/heads/main/PDFEscape.zip,phish
146,http://201.16.194.227:2550/TmpFTP/LOG_AJUSTEFOS/0021/001/01-2020/11/info.zip,phish
3338,http://176.65.148.113/where/botx.arm6,phish
7285,https://rv.h-73-n.ru/j6e.check?t=bysoz5b1,phish
1312,https://4ol.ndoq0.ru/xa.google?t=0cg08d18,phish
3741,http://88.214.50.76/SyncClient.exe,phish
391,http://hometrack-be-package.com/bins/nwfaiehg4ewijfgriehgirehaughrarg.x86_64,phish
7244,http://115.51.45.159:48905/bin.sh,phish
1777,http://42.228.100.190:55848/bin.sh,phish
9844,http://66.187.4.32/i686,phish
505,https://167.250.49.155/bin/billi_e58d74e455634dc695ed8a7b8b320325.exe.upx.exe,phish
3178,http://105.186.155.48:8085/sshd,phish
2326,http://177.70.102.228:8070/TmpFTP/01/Carta%20de%20Corre%C3%A7%C3%A3o/2022-02-21/info.zip,phish
7901,http://125.46.241.164:53616/i,phish
1316,http://201.16.194.227:2550/TmpFTP/LOG_AJUSTEFOS/0021/001/08-2020/15/info.zip,phish
232,http://115.58.124.65:58103/i,phish
1296,http://42.235.52.123:57080/i,phish
6312,https://p0.62xm.ru/5drrqyvh3s.f4v,phish
2442,http://202.107.235.202:8008/iis/file/sorder/241225-087/info.zip,phish
763,http://203.58.85.190:38206/i,phish
4557,http://relayparcel-help.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.arm6,phish
2831,https://img1.wsimg.com/blobby/go/88933df5-ca10-43b5-b140-6aa02868b89c/downloads/87076889980.pdf,phish
8219,https://c0rn.fa-0-n.ru/vbnzw9fdi6.map,phish
933,https://icarp.pl,legit
7514,http://115.49.0.222:59163/bin.sh,phish
2662,https://oooinex.ru,legit
7146,https://ckewaste.com,legit
8333,http://178.16.55.70/v19239.exe,phish
9065,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Delhi/Charter%20Parties/CHINA%20SHIPPING/info.zip,phish
2385,http://177.70.102.232:8090/TmpFTP/01/Recep%C3%A7%C3%A3o/2020-05-05/info.zip,phish
1058,http://177.70.102.228:8070/TmpFTP/CT-e/Distribui%C3%A7%C3%A3o/02589791000677/Consulta%20Geral/2025-03-22/info.zip,phish
7868,https://bedinger.com,legit
4846,https://n3.f926m.ru/q8p.google?t=6oimb0em,phish
3154,https://essentialsignaltunnel.com/?cid=H7QLD4EHx8md2Ofww&id=0,phish
4081,https://188.150.251.228/linux_aarch64,phish
3529,https://larvelfaucet.com,legit
4922,http://89.213.174.77/bins/mips,phish
6477,https://pbchistoryonline.org,legit
9841,http://111.229.151.200:8888/02.08.2022.exe,phish
4926,https://winealign.com,legit
8765,http://125.41.173.222:40675/i,phish
2030,http://196.188.135.20:58333/i,phish
3278,http://177.70.102.228:8070/TmpFTP/TD00000000000000583934/info.zip,phish
8756,http://colislivraisonsuivi.support/bins/nwfaiehg4ewijfgriehgirehaughrarg.m68k,phish
7782,http://27.217.184.23:48785/i,phish
8422,https://c3.6aiiwi2.ru/7lr89lh8t0.map,phish
7172,https://pn.j8ro.ru/7k.google?t=slek4821,phish
2866,http://143.20.185.225/uranium/inetdd,phish
4249,http://103.20.213.34:8080/Uploads/Uploads/Customer%20Firm%20Offer%20Format/info.zip,phish
3667,http://39.77.49.23:54547/i,phish
9511,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Mumbai/Fixtures%202009/MV%20ALAKNANDA_NOB_140509_019/Recap-Fixture%20Note/info.zip,phish
8602,https://iescomm.com,legit
840,http://103.191.63.179/hiddenbin/boatnet.ppc,phish
4528,https://jameslane.com.au,legit
4350,http://202.107.235.202:8008/%E5%B8%B8%E7%94%A8%E8%BD%AF%E4%BB%B6/SQLFULL_CHS/ia64/Setup/sql_engine_core_inst_msi/Windows/Gac/info.zip,phish
4146,https://vz.n-jur.ru/iw.google?t=xxxockxb,phish
6634,https://nbyouth.org.cn,legit
2322,http://187.209.146.207/AV.scr,phish
6909,http://123.9.123.203:50166/bin.sh,phish
6728,https://pf.vozunaa0.ru/o7nk3388vn.flac,phish
7399,http://115.61.16.110:52488/bin.sh,phish
2523,https://b7.fk-9-e-2.ru/5e.check?t=j4jylv9f,phish
4200,http://178.16.53.7/Injector.exe,phish
9987,http://201.16.194.227:2550/Ramon/teste/Microsoft%20Office%202010%20Professional%20Plus%20x86/Proofing.pt-br/Proof.pt-br/info.zip,phish
3214,http://182.143.113.249:81/Photo.scr,phish
150,http://115.48.150.124:39201/i,phish
5133,http://201.16.194.227:2550/TmpFTP/DELCACHEPRODUTOSEG/1/0021/03112020074647/info.zip,phish
574,http://59.98.226.156:43458/bin.sh,phish
4164,https://okumak.fr,legit
2426,http://www.tirtasentosa.com/admim/mine001.exe,phish
