Id,Url,Label
1,http://121.191.165.3:7070/ckeditorImage/2021/07/info.zip,phish
2,twistedsifter.com,legit
3,http://200.59.88.237:50209/bin.sh,phish
4,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Mumbai/Fixtures%202009/MV%20YASA%20OZCAN_JALDHI_231009_045/Charter%20Parties/Main%20Body/info.zip,phish
5,goodreader.com,legit
6,http://222.140.184.235:41154/i,phish
7,https://y0n3qv2.tape-5-x.ru/a2wudv8u,phish
8,http://66.108.238.65/AV.scr,phish
9,lucky97.com,legit
10,http://supportsavnetfix.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.i686,phish
