order,Url,Label
1,http://121.184.128.134/02/23/11/03/info.zip,phish
2,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Singapore/Backgrounds/info.zip,phish
3,https://transfer.wtf/get/WXAiGX/Security++%20Installer.exe,phish
4,http://123.9.115.200:41718/i,phish
5,http://213.209.150.187/odin.arm,phish
6,http://210.215.129.226:9000/exploits/code/output/cores_usr_bin/Photo.lnk,phish
7,http://119.185.191.23:41520/i,phish
8,http://201.16.194.227:2550/TmpFTP/EXTCONS/1/0021/28072020084117/info.zip,phish
9,http://200.59.88.204:36673/i,phish
10,http://115.49.29.188:38517/bin.sh,phish
11,http://196.251.84.155/hiddenbin/boatnet.m68k,phish
12,http://193.242.149.32:38302/i,phish
13,http://177.70.102.232:8090/TmpFTP/01/Recep%C3%A7%C3%A3o/2019-10-14/info.zip,phish
14,http://77.73.131.224:5554/WalletSorterDLL.dll,phish
15,http://119.109.161.248:34258/bin.sh,phish
16,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Mumbai/Fixtures%202008/MV.ALAKNANDA_NOB_140208_003/Charter%20Parties/info.zip,phish
17,http://196.251.69.129/fdgsfg,phish
18,https://toxcx.cn,legit
19,http://93.117.8.26:2573/i,phish
20,https://hssw360.com,legit
21,https://ladys.ro,legit
22,http://201.16.194.227:2550/TmpFTP/EXTCONS/1/0011/17092020084342/info.zip,phish
23,http://123.14.37.219:42395/bin.sh,phish
24,https://z51.ru,legit
25,http://103.20.213.34:8080/Uploads/Uploads/ARYACORP%20POST%20FIXTURE/FIXTURE%20FOLDERS/FIXTURE%20FOLDER%20FOR%202020/540%20-%20MV%20STOVE%20FRIEND%20-%20SCMC%20-%20CPDD%2013.01.2020%20-%20FILE%20NO.%20540/CHARTER%20PARTY/info.zip,phish
26,https://scfnbzq.com,legit
27,http://202.107.235.202:8008/%E5%B8%B8%E7%94%A8%E8%BD%AF%E4%BB%B6/SQLFULL_CHS/ia64/Setup/sql_engine_core_shared_loc_msi/2052/PFiles/SqlServr/100/Tools/Binn/Res/info.zip,phish
28,https://newsstreamchannel.com,legit
29,http://177.70.102.228:8070/TmpFTP/01/Carta%20de%20Corre%C3%A7%C3%A3o/2024-01-16/info.zip,phish
30,https://ivet.pl,legit
31,http://42.234.74.43:42031/i,phish
32,http://112.248.1.224:57889/bin.sh,phish
33,http://117.209.7.21:49976/i,phish
34,http://200.59.88.17:57627/bin.sh,phish
35,https://capsatotobbfs.com,legit
36,http://176.65.148.153/x86,phish
37,http://113.231.236.157:35180/i,phish
38,http://202.155.94.72/hiddenbin/boatnet.x86_64,phish
39,http://201.16.194.227:2550/TmpFTP/Manifesta%C3%A7%C3%A3o/Eventos%20Autom%C3%A1ticos/2020-10-08/info.zip,phish
40,http://39.73.72.140:36821/bin.sh,phish
41,http://rtost.duckdns.org/mimicr/ExeFixer.reg,phish
42,http://113.238.15.184:59041/bin.sh,phish
43,https://rustans-thebeautysource.com,legit
44,https://la.yq-4n.ru/ke3iqi9g,phish
45,https://flowerknows.co,legit
46,http://42.119.96.116/sshd,phish
47,http://177.70.102.228:8070/TmpFTP/01/Cancelamento/2025-01-06/info.zip,phish
48,https://by.bo-x2.ru/d0mbfoi6,phish
49,http://42.4.186.84:58855/bin.sh,phish
50,http://210.215.129.226:9000/exploits/code/libs/Ropper/Photo.scr,phish
51,http://113.224.75.198:48565/i,phish
52,https://lerna.digital,legit
53,http://196.251.116.193/hiddenbin/boatnet.x86_64,phish
54,https://cdnhog.com,legit
55,https://0.nybk.ru/kn.google?t=gk3v2ru5,phish
56,https://hx.u49n.ru/9q1.google?t=l334q11d,phish
